CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
SWING OUT SISTER,20503,LA LA (MEANS I LOVE YOU) ,Many girls have come to you,INT 14
SYLVINHO,6223,MEU URSINHO BLAU BLAU ,Aí meu ursinho Blau blau de brinquedo...,BRA
SYSTEM OF A DOWN,20038,TOXICITY ,Conversion software version seven point,INT11B
SÁ E GUARABIRA,1243,ATRÁS POEIR,Aele pegou um baio,IMP 16
SÁ E GUARABIRA,3078,ESPANHOLA ,Por tantas vezes eu andei mentindo,BRA
SÁ E GUARABIRA,3260,SOBRADINHO ,Ohomem chega e já desfaz a natureza,BRA
SÁ E GUARABIRA,6780,HARMONIA ,Como um bicho da rua pode ter...,BRA
SÁ E GUARABIRA,6836,ROQUE SANTEIRO ,Dizem que Roque Santeiro,BRA
"SÁ, RODRIX E GUARABYRA",2724,MESTRE JONA,Sdentro da baleia mora mestre jonas,IMP 21
"SÁ, RODRIX E GUARABYRA",15334,JESUS NUMA MOTO ,Preso nessa cela de ossos carne e san,IMP 25
SÉRGIO BRITTO - RITA LEE,15589,PURABOSSANOVA ,Se você não sabe eu sei eu vou lhe mostrar,IMP26
SÉRGIO BRITTO E NEGRA LI,2882,AQUI NESTE LUGAR ,Ninguém sabe quanto cabe pedir e alguém sabe 22C,@@
SÉRGIO LOROZA,9304,O MEU PONTO FRACO É MULHER ,Tinha arrumado uma grana era fim de,IMP 13
SÉRGIO MENDES,7048,ÁGUA DE BEBER ,Eu quis amar mas tive medo,BRA
SÉRGIO MENDES,17805,LUA SOBERANA ,Aiá-aracariá Ilê-iIê-Ilá... Veio de Madagascar 40I,@@
SÉRGIO MURILO,3651,BROTO LEGAL ,"Oh, oh, que broto legal garota fenomenal",BRA
SÉRGIO REIS,1299,MEU CAVALO ZAIN,Oeu tenho um cavalo zaino,IMP 16
SÉRGIO REIS,1603,CABOCLA TEREZA ,Lá no alto da montanha,IMP 18
SÉRGIO REIS,3055,CORAÇÃO DE PAPEL ,Se você pensa que meu coração é,BRA
SÉRGIO REIS,3556,CAVALO PRETO ,Tenho um cavalo preto por nome,BRA
SÉRGIO REIS,3557,CHICO MINEIRO ,Fizemos a última viagem,BRA
SÉRGIO REIS,3589,PANELA VELHA ,Tô de namoro com uma moça solteirona,BRA
SÉRGIO REIS,3593,SAUDADE DA MINHA TERRA ,De que me adianta viver na cidade,BRA
SÉRGIO REIS,3632,O MENINO DA PORTEIRA ,Toda vez que eu viajava,BRA
SÉRGIO REIS,3915,FUI PRA CASA DA VIZINHA ,Tomei uma cerveja no bar da,BRA
SÉRGIO REIS,4184,CHALANA ,Lá vai a chalana bem longe se vai...,BRA
SÉRGIO REIS,4257,TOCANDO EM FRENTE ,Ando devagar porque já tive pressa...,BRA
SÉRGIO REIS,4331,PINGA NI MIM ,Nesta casa tem goteira pinga...,BRA
SÉRGIO REIS,4477,FILHO ADOTIVO ,Com sacrifício...,BRA
SÉRGIO REIS,6238,TREM DO PANTANAL ,Enquanto esse velho trem...,BRA
SÉRGIO REIS,6602,ADEUS MARIANA ,Nasci lá na cidade me casei na serra...,BRA
SÉRGIO REIS,7088,CIDADE GRANDE ,Abre a porteira que eu quero entrar,BRA
SÉRGIO REIS,9900,TRISTE BERRANTE ,Já vai bem longe esse tempo,IMP 14
SÉRGIO REIS,16009,COMITIVA ESPERANÇA ,Nossa viagem não é ligeira 29B,@@
SÉRGIO REIS,16830,POEIRA ,Ocarro de boi lá vai 34B,@@
SÉRGIO REIS,17105,O MENINO DA GAITA ,Era um rapaz claros bem azuis 36A,@@
SÉRGIO SAMPAIO,1529,EU QUERO BOTAR MEU BLOCO ,Há quem diga que eu dormi de touca,IMP 18
SÍLVIO BRITO,3746,CIDADÃO ,Tá vendo aquele edifício moço?,BRA
SÍLVIO BRITO,9449,ESPELHO MÁGICO ,Espelho meu espelho meu,IMP 13
SÓ NO SAPATINHO,4014,SÓ NO SAPATINHO ,Ela chega vaidosa e sorridente,BRA
SÓ PRA CONTRARIAR,75341,COLA DO MEU LADO ,Musica Extra,@@
SÓ PRA CONTRARIAR,75342,VOCÊ DE VOLTA ,Musica Extra,@@
SÓ PRA CONTRARIAR,1345,TUDO MENOS AMO,Rtudo que quiseres te darei ó flor,IMP17
SÓ PRA CONTRARIAR,3066,DÓI DEMAIS ,Tá doendo sim tá doendo em mim,BRA
SÓ PRA CONTRARIAR,3081,ESSA TAL LIBERDADE ,Oque é que eu vou fazer com essa tal,BRA
SÓ PRA CONTRARIAR,3178,NOSSO SONHO NÃO É ILUSÃO ,Estão falando pra eu tomar cuidado,BRA
SÓ PRA CONTRARIAR,3232,QUE SE CHAMA AMOR ,Como é que uma coisa assim,BRA
SÓ PRA CONTRARIAR,3322,É BOM DEMAIS ,Não larga do meu pé me chama de meu rei,BRA
SÓ PRA CONTRARIAR,3343,PRIMEIRO AMOR ,Éna escola da vida que a gente aprende,BRA
SÓ PRA CONTRARIAR,3373,MEU JEITO DE SER ,Era só dizer pra mim que não sentia,BRA
SÓ PRA CONTRARIAR,3392,TÃO SÓ ,Eu fiquei sozinho mais uma noite,BRA
SÓ PRA CONTRARIAR,3428,LINDA ,Éuma coisa sem explicação,BRA
SÓ PRA CONTRARIAR,3530,NUNCA MAIS TE MACHUCAR ,Dói demais saber que eu errei e não,BRA
SÓ PRA CONTRARIAR,3531,"O AMOR, VOCÊ E EU ",Se olhar nos meus olhos verá o que tenho,BRA
SÓ PRA CONTRARIAR,3533,OUTDOOR ,Já coloquei num outdoor e em todos,BRA
SÓ PRA CONTRARIAR,3543,TE AMAR SEM MEDO ,Tá difícil esconder a paixão que,BRA
SÓ PRA CONTRARIAR,3546,TRIBUTO AOS MAMONAS ,Apesar do pouco tempo que eu fico,BRA
SÓ PRA CONTRARIAR,3604,AMOR VERDADEIRO ,"Olhe dentro de mim, você pode se ver",BRA
SÓ PRA CONTRARIAR,3749,DEPOIS DO PRAZER ,"Tô fazendo amor, com outra pessoa",BRA
SÓ PRA CONTRARIAR,3806,MINEIRINHO ,Eu não tenho culpa de,BRA
SÓ PRA CONTRARIAR,3816,TÁ POR FORA ,Chega de plantar loucura,BRA
SÓ PRA CONTRARIAR,3961,MINHA METADE ,Será que a gente entrega,BRA
SÓ PRA CONTRARIAR,4047,PECADO CAPITAL ,Dinheiro na mão é vendaval,BRA
SÓ PRA CONTRARIAR,4174,SAI DA MINHA ABA ,Sai pra lá se manca vê se me esquece,BRA
SÓ PRA CONTRARIAR,4199,MACHUCA DEMAIS ,Você machuca demais esse meu coração...,BRA
SÓ PRA CONTRARIAR,4274,INTERFONE ,Acidade já pegou no sono...,BRA
SÓ PRA CONTRARIAR,4403,NÃO CHORA ,Quando eu era o seu amor não havia...,BRA
SÓ PRA CONTRARIAR,4431,DE CORPO SEM ALMA ,Às vezes a solidão...,BRA
SÓ PRA CONTRARIAR,4493,QUEM ME DERA ,Anoite madrugou se fez manhã...,BRA
SÓ PRA CONTRARIAR,6039,VOCÊ VIROU SAUDADE ,Você virou razão virou...,BRA
SÓ PRA CONTRARIAR,6080,VEM ME LIVRAR DESSE ABANDONO,Vá embora eu não quero...,BRA
SÓ PRA CONTRARIAR,6373,FINAL FELIZ ,Chega de fingir...,BRA
SÓ PRA CONTRARIAR,6576,MINHA FANTASIA ,Aminha fantasia era te ter um dia…,BRA
SÓ PRA CONTRARIAR,6644,A REDE ,Quando ela partiu ela levou...,BRA
SÓ PRA CONTRARIAR,15187,QUANDO É AMOR ,Agente sabe o que é amor imp 24,@@
SÓ PRA CONTRARIAR,15372,DOMINGO ,Domingo quero te encontrar e desabafar,IMP 25
SÓ PRA CONTRARIAR,15403,AO SOM DO SPC ,Ôô ô... Na nossa praia é só alegria o,IMP25
SÓ PRA CONTRARIAR,15470,ME PERDOA ,Me persegue o castigo nada mais,IMP25
SÓ PRA CONTRARIAR,15641,A BARATA ,Toda vez que eu chego em casa a barata da,IMP 27
SÓ PRA CONTRARIAR,15787,RECORDAÇÕES ,Nesse meu vazio eu vou ficar nas recordações,IMP 27
SÓ PRA CONTRARIAR,15917,SE PREPARE PRA SOFRER ,Nunca mais eu vou chorar se prepare pra sofrer,IMP28
SÓ PRA CONTRARIAR E GLORIA ESTEFAN,4371,SANTO SANTO ,De joelhos eu te peço escute a minha oração...,BRA
T.A.T.U.,19241,ALL THE THINGS SHE SAID ,All the things she said... Running through my head,INT 6
T.A.T.U.,19281,ALL ABOUT US ,They say they don't trust you me we us,INT 6
T.A.T.U.,19623,NOT GONNA GET US ,Not gonna get us they're not gonna get us,INT08D
TAIGUARA,3284,UNIVERSO NO TEU CORPO ,Eu desisto não existe essa manhã,BRA
TAIGUARA,6823,HOJE ,Hoje Trago em meu corpo,BRA
TAIGUARA,7709,TEU SONHO NÃO ACABOU ,Hoje a minha pele já não tem cor,IMP 11
TAIGUARA,9601,AMANDA ,Amanda,IMP 14
TAIGUARA,15140,VIAGEM ,Vai abandona a morte em vida em que hoje estás,IMP 23
TAIO CRUZ,19783,DYNAMITE ,Icome to dance dance dance dance,INT09D
TAKE THAT,4683,BACK FOR GOOD ,Iguess now it’s time for me to give up...,EUA
TALK TALK,19504,IT'S MY LIFE ,Funny how I find myself in love with you,INT08A
TALKING HEADS,19555,PSYCHO KILLER ,Ican't seem to face up to the facts,INT08B
TAMMY WYNETTE,4605,STAND BY YOUR MAN ,Sometimes it's hard to be a woman,EUA
TANIA ALVES,6150,OUÇA ,Ouça vá viver sua vida com outro bem....,BRA
TARCISIO DO ACORDEON,17429,PROTECAO DE TELA ,Eu ja tentei de tudo pra tirar voce da minha vida,IMP 38
TARCÍSIO DO ACORDEON,17552,DEIXA EU TE SUPERAR ,Já que a gente chegou ao ponto 38R,@@
TARCÍSIO DO ACORDEON MARI FERNÁNDEZ,75343,ME REVOLTA ,Musica Extra,@@
TARCÍSIO DO ACORDEON TARCISIO DO ACORDEON -,17737,NÃO DIGITA ,Eeu sei que tuas amigas tão chamando pra curtir 40B,@@
TATA VEGAS,19223,MISS CELIE'S BLUES (SISTER) ,Sister you've been on my mind,INT 6
TATAU,1082,MAIS DE MIL MOTIVO,Seta garota assustada,IMP 15
TAYLOR SWIFT,19010,MEAN ,You with your words like knives,INT 5
TAYLOR SWIFT,19057,I KNEW YOU WERE TROUBLE ,Once upon a time a few mistakes ago,INT 5
TAYLOR SWIFT,19076,WE ARE NEVER EVER GETTING BACK TOGETHER ,Iremember when we broke up the first time,INT 5
TAYLOR SWIFT,19259,LONG LIVE ,Isaid remember this moment in the back of my mind,INT 6
TAYLOR SWIFT,19447,BLANK SPACE ,Nice to meet you where you been,INT 7
TAYLOR SWIFT,19514,SHAKE IT OFF ,Istay out too late,INT08A
TAYLOR SWIFT,20124,LOVER ,We could leave the Christmas lights,INT12A
TAYLOR SWIFT,20291,22 ,It feels like a perfect night,INT13B
TAYLOR SWIFT,20355,LOOK WHAT YOU MADE ME DO ,Idon't like your little games,INT13H
TAYLOR SWIFT,20470,WILDEST DREAMS ,He said let´s get out of this town,INT 14
TAYLOR SWIFT,20488,RED ,Loving him is like driving a new Maserati down,INT 14
TAYLOR SWIFT,20570,STYLE ,Midnight you come and pick me up,INT14N
TAYLOR SWIFT,20582,ANTI-HERO ,Ihave this thing where I get older,INT14Q
TAYLOR SWIFT - BRENDON URIE,19967,ME ,Ipromise that you'll never find another like me,INT11A
TAYLOR SWIFT - ED SHEERAN,20393,EVERYTHING HAS CHANGED ,All I know this morning when I woke,INT 13
TAYRONE,5166,INVEJA DO SEU NAMORO ,Musica Extra,@@
TAYRONE,17154,EDILENE ,Vacilei e ela pegou o meu celular 36E,@@
TAYRONE - MARÍLIA MENDONÇA,17233,CÊ TÁ PREPARADA ,"Cê sabe onde tá entrando se envolvendo comigo 36N,",@@
TCHAKABUM,15291,DANÇA DA MÃOZINHA ,Dance a dança da mãozinha que no final imp 24,@@
TCHECABUM,6213,DANÇA DA ONDA ,Vou te pegar...,BRA
TCHÊ BARBARIDADE,9444,É SÁBADO O DIA ,Essa noite nesse baile eu quero me ar,IMP 13
TCHÊ BARBARIDADE,9567,VOCÊ NÃO VALE NADA ,Você não vale nada mas eu gosto de vo,IMP 13
TCHÊ CAMPEIRO,9499,O AVIÃOZINHO ,Olha lá no céu é o aviãozinho,IMP 13
TCHÊ GAROTOS,1209,CHEGA DE DEPR,Êhoje vou sair,IMP 16
TCHÊ GAROTOS,1451,EU VOU CAIR NA ZOEIR,Afim de semana preparo o meu coração,IMP17
TCHÊ GAROTOS,1696,O MEU AMOR ME FEZ FELIZ ,Omeu amor me fez feliz por que,IMP19
TCHÊ GAROTOS,2801,CACHORRO PERIGOSO ,Cachorro perigoso safado carinhoso 22A,@@
TCHÊ GAROTOS,7384,MENININHA ,Todos os dias na escola,BRA
TCHÊ GAROTOS,7660,O SOM DO POVO ,Tá chegando o som do povo,IMP 11
TCHÊ GAROTOS,9359,VEM ME DENGAR ,Namorar com você é gostoso demais,IMP 13
TCHÊ GAROTOS,9419,CLARÃO DA LUA ,Agora estou aqui,IMP 13
TCHÊ GAROTOS,9426,CRIADO TIPO BICHO ,Violeiro mandando laçassos de dedos,IMP 13
TCHÊ GAROTOS,9442,É LÁ QUE MORA ELA ,Oh oh...,IMP 13
TCHÊ GAROTOS,9558,VAMOS FAZER FESTA ,Joga as mãos pra cima tristeza não in,IMP 13
TCHÊ GAROTOS,15250,FAZENDO COISA BOA ,Hoje no barraco vai rolar bobagem imp 24,@@
TEARS FOR FEARS,4993,WOMAN IN CHAINS ,You better love loving and you better b,USA
TEARS FOR FEARS,19571,EVERYBODY WANTS TO RULE THE WORLD ,Welcome to your life,INT08C
TEARS FOR FEARS,20130,SHOUT ,Shout shout let it all out,INT12A
TEARS FOR FEARS,20179,SOWING THE SEEDS OF LOVE ,High time we made a stand,INT12B
TEARS FOR FEARS,20224,HEAD OVER HEELS ,Iwanted to be with you alone,INT12C
TEARS FOR FEARS,20305,PALE SHELTER ,How can I be sure,INT13C
TEATRO MÁGICO,2922,NOSSO PEQUENO CASTELO ,Já longe de tanta fumaça 22D,@@
TECHNOTRONIC,19904,PUMP UP THE JAM ,Pump up the jam pump it up,INT10C
TECHNOTRONIC,19952,GET UP (BEFORE THE NIGHT IS OVER) ,Get up on your feet b]efore the night is,INT10D
TEIXEIRINHA,15955,REI DO BARALHO ,Eu fui o rei do baralho homem de má intenção,IMP28
TEIXEIRINHA,15986,GAÚCHO DE PASSO FUNDO ,Me perguntaram se eu sou gaúcho 29A,@@
TEIXEIRINHA,17767,QUERÊNCIA AMADA ,Quem quiser saber quem sou 40E,@@
TELEX,7451,SÓ DELÍRIO ,Eu não tenho culpa,BRA
TEMPLE OF THE DOG,19700,HUNGER STRIKE ,Well I don't mind stealing bread,INT09B
TEODORO E SAMPAIO,1223,O TREM TÁ FEI,Odisse que aqui mais nada é de graça,IMP 16
TEODORO E SAMPAIO,1265,PITOC,Oganhei um cachorrinho por nome de pit,IMP 16
TEODORO E SAMPAIO,1290,HOMEM QUE BATE EM MULHE,Rhomem que bate em mulher covarde é,IMP 16
TEODORO E SAMPAIO,1615,O BEIJO DO ADEUS ,Devolva todas minhas coisas,IMP 18
TEODORO E SAMPAIO,1738,PAIXÃO PROIBIDA ,Querida nós nos enganamos,IMP19
TEODORO E SAMPAIO,6702,MULHER CHORONA ,Êta mulher chorona chora feito uma...,BRA
TEODORO E SAMPAIO,6723,AQUI PRA ELA ,Minha mulher quer sair pra dançar...,BRA
TEODORO E SAMPAIO,6773,É MENTIRA DELA ,Minha mulher diz que eu vou pro boteco...,BRA
TEODORO E SAMPAIO,6804,A GOSTOSONA ,Gostosona sai na rua assanha a,BRA
TEODORO E SAMPAIO,6925,GARANHÃO DA MADRUGADA ,Sou um homem ciumento amo e quero…,BRA
TEODORO E SAMPAIO,7237,SE A CASA CAIR ,Ese a casa cair deixa que caia,BRA
TEODORO E SAMPAIO,7398,O CHORÃO ,Mas que trem doido que,BRA
TEODORO E SAMPAIO,7432,ROELA DO ENO O ,Eno é meu amigo e,BRA
TEODORO E SAMPAIO,7576,COWBOY CONQUISTADOR ,Onde tem festa festa de rodeio,IMP 11
TEODORO E SAMPAIO,7611,FOGO NO FACHO ,Essa mulher tem fogo no facho,IMP 11
TEODORO E SAMPAIO,7654,O PEÃO E O VIOLEIRO ,Onde tem festa de peão tem violeiro,IMP 11
TEODORO E SAMPAIO,7719,UM SÉCULO SEM TI ,Quanta história eu tenho inventado,IMP 11
TEODORO E SAMPAIO,9887,TAPETE DA SALA ,Não precisa mais dizer que me ama,IMP 14
TEODORO E SAMPAIO,16159,VESTIDO DE SEDA ,Meu bem eu queria que você voltasse ao menos 30A,@@
TEODORO E SAMPAIO,16881,AFOGAR O GANSO ,Se encher o copo eu bebo 34D,@@
TERRASAMBA,3984,ABC DO TERRA ,Você me disse que sabe sambar,BRA
TERRASAMBA,4003,LIBERAR GERAL ,Nada mal,BRA
TERRASAMBA,4027,CARRINHO DE MÃO ,"Padá, badá",BRA
TERRASAMBA,4056,TÁ TIRANDO ONDA ,"Tá tirando onda, tá tirando ondinha",BRA
TERRASAMBA,4251,ROMÂNTICO LÍRICO ,Você já tá careca de saber...,BRA
TERRY WINTER,2654,SUMMER HOLIDAY ,On a summer day I met you,EUA 4
TESTAMENT,2561,ALONE IN THE DARK ,When I was but very young,EUA 4
TETO,75394,MINHA VIDA É UM FILME ,Musica Extra,@@
TETÊ ESPÍNDOLA,3076,ESCRITO NAS ESTRELAS ,Você pra mim foi o sol,BRA
THAEME E THIAGO,5177,SARCASMO ,Musica Extra,@@
THAEME E THIAGO,15003,AI QUE DÓ ,Foi se aventurar e agora ficou só ai que dó,IMP 23
THAEME E THIAGO,15220,DESERTO ,Vou construir um edifício no meio do seu deserto imp 24,@@
THAEME E THIAGO,15313,PERTO DE MIM ,Aonde você quer chegar se eu tô bem imp 24,@@
THAEME E THIAGO,15449,CAFAJESTE ,Marcelo me ligou me chamou,IMP25
THAEME E THIAGO,15507,SINTO SAUDADE ,Sinto saudade já sentia até mesmo antes,IMP26
THAEME E THIAGO,15520,VOU DAR O NÓ EM VOCÊ (ARROCHA) ,Amor tô decidida agora eu vou mudar foi a,IMP26
THAEME E THIAGO,15648,CDS E LIVROS ,Cada sorriso uma foto lembranças do meu,IMP 27
THAEME E THIAGO,15812,CORAÇÃO APERTADO ,Hoje eu não tô afim de sair sem você não sei me,IMP28
THAEME E THIAGO,15893,BEM FEITO ,Você saiu falou que nunca mais ia voltar,IMP28
THAEME E THIAGO,16014,PRA TER VOCÊ AQUI ,Iê iê iê iê... É madrugada quatro horas da manhã 29B,@@
THAEME E THIAGO,16523,CASA PEQUENININHA ,Casinha simples bem apertada 32C,@@
THAEME E THIAGO,15979,O QUE ACONTECE NA BALADA ,Alguém me viu aqui não eu também não vi 29A,@@
THAEME E THIAGO - TAYRONE,17287,TÔ COM SAUDADE SIM ,Tem garrafas em cima da mesa,IMP 37
THAEME E THIAGO PART.,5051,FICA LOUCA ,Musica Extra,@@
THAEME E THIAGO THAEME E THIAGO - LUAN,16736,EU CONTO OU CÊ CONTA ,Eu não ando aparecendo muito 33D,@@
THAEME MARIOTO,15583,O BRILHO DESSA ESTRELA ,Meu coração escolhe o meu caminho,IMP26
THAIS GULLIN,1518,"PAIXÃO, PASSIONE ",Paixão,IMP 18
THALIA,15666,MANIAS ,Ocheiro da ausência e a noite chega fria,IMP 27
THALIA - DESENHO ANASTASIA,16079,VIAGEM AO PASSADO ,Firme coração que eu tenha coragem 29C,@@
THALIA - FAT JOE,19703,I WANT YOU ,What did I do to deverse such a man,INT09B
THALLES ROBERTO,2961,A ALEGRIA ESTÁ NO CORAÇÃO ,Aleluia aleluia aleluia aleluia a alegria,EVAN04D
THALLES ROBERTO,2971,CASA DO PAI ,Eu sinto falta da Sua voz me chamando,EVAN04D
THALLES ROBERTO - NALDO BENNY (NALDO),15836,QUERO SUA VIDA EM MIM ,Tentei levar a vida sem você tentei fingir que eu tava,IMP28
THE 5TH DIMENSION,9092,AQUARIUS ,When the moon is in the seventh house…,EUA
THE BUGGLES,9189,VIDEO KILLED THE RADIO STAR ,Iheard you on my wireless…,EUA
THE CALLING,19366,ADRIENNE I,'ve been thinking about you my love,INT 7
THE CARS,9255,DRIVE ,Who's gonna tell you when...,USA3134
THE CASCADES,4649,RHYTHM OF THE RAIN ,Listen to the rhythm of the falling,EUA
THE CHI-LITES,4949,OH GIRL ,Oh girl,USA
THE CLASSICS IV,19017,STORMY ,You are the sunshine baby,INT 5
THE CORRS,2572,EVERYBODY HURTS ,When your day is long,EUA 4
THE CORRS,9031,FORGIVEN NOT FORGOTTEN ,All alone staring on watching her life,USA
THE CORRS,9163,RUNAWAY ,Say it's true…,EUA
THE CORRS,9232,RUNAWAY ,Say it's true,USA 3
THE CRANBERRIES,5000,ZOMBIE ,Another head hangs lowly Child is slowl,USA
THE CRANBERRIES,9040,LINGER ,If you... if you could return,USA
THE CRANBERRIES,9048,ODE TO MY FAMILY ,"Doo, doo, doo, doo, doo, doo, doo, doo",USA
THE CRESTS,9270,SIXTEEN CANDLES ,"Happy birthday Happy birthday, baby....",USA 3
THE CURE,9010,BOYS DON'T CRY ,Iwould say I'm sorry,USA
THE CURE,19379,FRIDAY I'M LOVE ,Idon't care if Monday is blue,INT 7
THE FARM,19961,ALL TOGETHER NOW ,Remember boy that your forefather's died,INT11A
THE FEVER'S,1497,SE VOCÊ DISSER QUE SIM ,Se você disser que sim e aceitar o,IMP 18
THE FEVER'S,6559,VEM ME AJUDAR ,Perdi você porque não julguei…,BRA
THE FEVER'S,6658,MAR DE ROSAS ,Você bem sabe...,BRA
THE FEVER'S,7918,CÂNDIDA ,No céu todo azul mil estrelas a brilh,IMP 12
THE FEVER'S,7982,JÁ CANSEI ,Eu me lembro que eu dizia,IMP 12
THE FEVER'S,9293,NATHALIE ,Tudo é triste em meu viver,IMP 13
THE FEVER'S,9297,NINGUÉM VIVE SEM AMOR ,Mais um dia amanheceu e eu sozinho a,IMP 13
THE FEVERS,2699,SE VOCÊ ME QUISE,Rquando eu te encontrei eu não imaginei,IMP 21
THE FEVERS,15051,GUERRA DOS SEXOS ,Cheguei pra conquistar o mundo,IMP 23
THE FEVERS,15128,MÃE ,Mãe a vida foi você quem me deu,IMP 23
THE FOUR TOPS,9093,ASK THE LONELY ,When you feel that you can make..,EUA
THE FOUR TOPS,9157,REACH OUT I'LL BE THERE ,Now if you feel that you can't go on…,EUA
THE HOLLIES,9178,THE AIR THAT I BREATHE ,If I could make a wish I think I'd pass…,EUA
THE HOUSEMARTINS,9248,BUILD ,Clambering men in big bad boots,USA 3
THE HUMAN LEAGUE,9213,DON'T YOU WANT ME ,You were working as a waitress...,USA 3
THE KORGIS,9215,EVERYBODY'S GOT T0 LEARN SOMETIME ,Change your heart look around you...,USA 3
THE MARMALADE,4839,REFLECTIONS OF MY LIFE ,The changing of sunlight to moonlight,USA
THE ORIGINALS,1719,UM FILME COM FINAL FELIZ ,Quantas estrelas quantas promessas,IMP19
THE ORIGINALS,6889,AMAR VOCÊ ,Amar você O sonho que guardei…,BRA
THE ORIGINALS,15060,UMA HISTÓRIA PRA FICAR ,Quando estou nos teus braços fecho os olhos,IMP 23
THE OUTFIELD,9096,CLOSER TO ME ,One look one touch…,EUA
THE PARLOTONES,2576,FLY TO THE MOON ,Fairytales all tell a lie,EUA 4
THE POLICE,19649,DE DO DO DO DE DA DA DA ,Don't think me unkind,INT09A
THE REMBRANDTS,2517,I’LL BE THERE FOR YOU ,So no one told your life was gonna be t,EUA 4
THE RONETTES,5871,BE MY BABY ,The night we met I knew I needed you so,USA
THE SMITHS,5867,ASK ,Shyness is nice and shyness can't stop y,USA 3
THE SMITHS,9032,GIRLFRIEND IN A COMA ,Girlfriend in a coma I know,USA
THE THE,20529,THIS IS THE DAY ,Well you didn't wake up this morning,INT14J
THE WALLFLOWERS,2605,HEROES I ,Iwish you could swim like the dolphin,EUA 4
THE WALLFLOWERS,20409,ONE HEADLIGHT ,So long ago I don't remember when,INT 13
THE WANTED,19032,GLAD YOU CAME ,The sun goes down the stars come out,INT 5
THE WANTED,19049,CHASING THE SUN I,'m better so much better now,INT 5
THE WANTED,19254,I FOUND YOU ,She wants me to come over I can tell her eyes,INT 6
THE WANTED,19282,ALL TIME LOW ,Praying won't do it hating won't do it,INT 6
THE WANTED,19867,WALKS LIKE RIHANNA ,Have you seen that girl,INT10B
THE WHITE STRIPES,2628,SEVEN NATION ARMY I,’m going to fight them off a seven nation,EUA 4
THE WONDERS,9061,THAT THING YOU DO ,You... doin' that thing you do,USA
THIAGO AQUINO,75395,ERRO QUE DÁ CERTO ,Musica Extra,@@
THIAGO BRAVA,5210,DONA MARIA ,Musica Extra,@@
THIAGO BRAVA,15161,360 O ARROCHA DO PODER ,Ela me falou que não sabe dançar imp 24,@@
THIAGO BRAVA,15447,ALÔ GRAU ,Olha a malemolência ui venha,IMP25
THIAGO BRAVA,15943,LEI DO DESAPEGO ,Ôô ôôôô... Deixa de dizer amor,IMP28
THIAGO BRAVA,16256,DONA MARIA ,Me desculpe vir aqui desse jeito,30D
THIAGO BRAVA - CRISTIANO ARAÚJO - MR. CATRA,15754,TÁ SOLTINHA ,Uh tá querendo... Namorou por muito tempo,IMP 27
THIAGO BRAVA - TURMA DO PAGODE,16748,PREDADOR ,Aconteceu comigo o que eu mais temia 33D,@@
THIAGO SERVO,15665,MALUCA ,Ma ma ma maluca ela da porrada me provoca,IMP 27
THIAGUINHO,5005,AINDA BEM ,Musica Extra,@@
THIAGUINHO,5118,HEY MUNDO ,Musica Extra,@@
THIAGUINHO,75344,SE DER ROLO ,Musica Extra,@@
THIAGUINHO,15062,AINDA BEM ,Ainda bem que te encontrei,IMP 23
THIAGUINHO,15088,LEITE CONDENSADO ,Émeu amigo falou que é bom quero pegar também,IMP 23
THIAGUINHO,15166,BUQUÊ DE FLORES ,Eu tava pensativo então fui pro pagodinho imp 24,@@
THIAGUINHO,15219,DESENCANA ,Lala laiá...Não sei porque quis se esconder imp 24,@@
THIAGUINHO,15311,OUSADIA E ALEGRIA ,Chego chegando beijo no canto da boca imp 24,@@
THIAGUINHO,15404,AS APARÊNCIAS ENGANAM ,Você sempre toda linda arrumada,IMP25
THIAGUINHO,15558,SOU O CARA PRA VOCÊ ,Ahhh ele não te merece fala mal de você,IMP26
THIAGUINHO,15593,SERÁ QUE É AMOR ,Todo dia me pego te olhando o teu beijo,IMP26
THIAGUINHO,15604,"CARACA, MULEKE! ",Caraca moleque que dia que isso põe um,IMP26
THIAGUINHO,16203,ENERGIA SURREAL ,Êlaiá la laiá lauê la laiá lauê lai 30C,@@
THIAGUINHO,16438,PONTO FRACO ,Sou louco o suficiente pra apostar na gente 31D,@@
THIAGUINHO,16625,DEIXA TUDO COMO TÁ ,Deixa tudo como tá 33A,@@
THIAGUINHO,16731,A FILA ANDA ,Afila anda e você volta o que a gente tem 33D,@@
THIAGUINHO,17223,ERA UMA VEZ ,"Hey era uma vez um na cervejinha outro no vinho 36M,",@@
THIAGUINHO,17435,FALTA VOCE ,La laia... Juro que eu não sei mais o que eu vou,IMP 38
THIAGUINHO,17634,DELIRANTE ,Um rolezinho bem da hora so pra relaxar 39H,@@
THIAGUINHO,17740,VENCEDOR ,Vai lutar vai sonhar vai sorrir vai viver40B,@@
THIAGUINHO - GLORIA GROOVE,17257,PRESENTE DO CÉU (BEST PART) ,Tava lindo tudo azul vibe boa eu e você,IMP 37
THIAGUINHO - MANÁ,15335,LÁBIOS DIVIDIDOS (LÁBIOS ,Meu amor se sou refém do vai vem,IMP 25
THIAGUINHO - MARIA RITA,16563,DESLIGA VOCÊ ,Eaí tudo bem quanto tempo 32D,@@
